id,category,question,answer,source
1,请假,怎么请病假？,病假需辅导员签字的假条+校医院证明，3天内交教务处,学生手册P23
2,奖学金,奖学金需要什么条件？,学年平均绩点≥3.0，无挂科，体测合格,学生手册P45
3,请假,事假最长能请多久？,单次事假不超过7天，累计一学期不超14天，超期需学院审批,学生手册P24
4,教务,期末考试挂科怎么办？,挂科下学期初参加补考，补考仍未通过需重修该课程,教务须知P11
5,后勤,宿舍断电时间是几点？,周日至周四23:00断电，周五周六23:30断电,后勤管理P8
6,后勤,宿舍可以使用大功率电器吗？,严禁使用电煮锅、吹风机、电热毯等大功率电器，查到会没收并通报,宿舍管理P15
7,教务,怎么查询课表？,登录校园教务系统，在个人课表板块查看，也可关注校园公众号查询,教务指南P3
8,奖助,助学金申请流程是什么？,提交家庭困难证明→班级评议→学院审核→学校公示发放,资助手册P19
9,校园,校园快递站在哪？,学校二食堂后侧实训楼一楼快递驿站,校园导览P6
10,教务,补办学生证去哪里办理？,携带一寸照片到行政楼203教务处学籍窗口办理,学籍管理P7
11,纪律,晚归会有什么处罚？,每月3次晚归进行班级通报，累计5次取消当月评优资格,学生手册P32
12,后勤,校园食堂营业时间？,早餐6:30-8:30，午餐11:00-13:00，晚餐17:00-19:00,后勤公告P2
13,实训,实训课缺勤怎么补？,实训缺课需提前向实训老师报备，课后补做对应实训项目并提交报告,实训管理P9
14,校园,图书馆开放时间？,周一至周五8:00-21:00，周末9:00-18:00，法定节假日闭馆,图书馆规则P4
15,奖助,助学贷款怎么办理？,开学前在线申请生源地贷款，到校后提交受理证明至资助中心,资助手册P25
16,纪律,校园内吸烟处罚标准？,教学楼、宿舍、图书馆禁烟，违者罚款50元并写检讨,学生手册P36
17,教务,英语四六级报名时间？,每年3月、9月开放报名，教务系统统一填报缴费,教务通知P14
18,后勤,宿舍漏水报修渠道？,在校园后勤小程序提交报修，或前往宿舍楼宿管处登记,后勤服务P12
19,毕业,毕业需要满足什么学分要求？,修满专业全部理论+实训学分，完成顶岗实习，无违纪处分,毕业须知P5
20,校园,校园卡丢失怎么挂失补办？,先在校园公众号挂失，再到食堂一楼卡务中心补办，工本费10元,校园卡须知P3
